"","index","employees.employee.employment.public.union.board.political.labor.employer.government","general.attorney.briefs.solicitor.argued.assistant.cause.curiae.brief.jr","communist.party.organization.board.foreign.registration.act.control.movement.organizations","school.religious.schools.student.establishment.religion.students.forum.program.university","grand.jury.press.information.footnote.privilege.news.criminal.sources.investigation","mr.debate.senator.clause.legislative.said.privilege.plaintiff.office.house","act.congress.committee.answer.service.inquiry.president.united.questions.security","opinion.filed.joined.district.post.respondents.held.argued.dissenting.jj","speech.government.interest.act.interests.governmental.opinion.case.united.states","advertising.commercial.speech.regulations.information.central.cable.marketing.interest.broadcasting","candidates.candidate.political.election.footnote.contributions.party.expenditures.contribution.campaign","injunction.review.maryland.district.restraint.prior.judicial.order.footnote.relief","limits.federal.election.buckley.bcra.contributions.campaign.political.candidates.candidate","affirmed.syllabus.decided.argued.freedom.held.act.law.case.reversed","false.statements.jury.damages.petitioner.malice.times.respondent.actual.trial","solicitation.charitable.fraud.paid.fee.organizations.requirement.telemarketers.circulators.north","flag.words.peace.conviction.ohio.convicted.conduct.street.symbol.group","obscene.obscenity.material.materials.film.sexual.standards.films.indecent.minors","religious.tax.prison.religion.inmates.rfra.exercise.burden.inmate.sales","ordinance.city.picketing.public.streets.ordinances.park.police.permit.regulation","syllabus","caseName"
"105",104,0,0,0.0161290322580645,0,0,0,0,0,0,0,0,0,0,0.806451612903226,0,0,0,0.161290322580645,0,0.0161290322580645,"syllabus105","KINGSLEY INTERNATIONAL PICTURES CORP. v. REGENTS OF THE UNIVERSITY OF THE STATE OF NEW YORK"
"106",105,0,0,0,0,0,0,0,0,0.0808823529411765,0.0147058823529412,0.0147058823529412,0,0,0.507352941176471,0.0294117647058824,0,0.0147058823529412,0.264705882352941,0,0.0735294117647059,"syllabus106","SMITH v. CALIFORNIA"
"107",106,0.0403225806451613,0,0,0,0,0.00806451612903226,0.00806451612903226,0,0,0,0.0564516129032258,0,0.00806451612903226,0.701612903225806,0,0.0564516129032258,0.0161290322580645,0.0403225806451613,0.00806451612903226,0.0564516129032258,"syllabus107","BATES et al. v. CITY OF LITTLE ROCK et al."
"108",107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576923076923077,0,0,0,0.0192307692307692,0.0192307692307692,0.384615384615385,"syllabus108","TALLEY v. CALIFORNIA"
"109",108,0.0170454545454545,0,0.0113636363636364,0,0,0.0170454545454545,0.409090909090909,0.164772727272727,0,0.0113636363636364,0.00568181818181818,0.164772727272727,0,0.193181818181818,0,0,0,0.00568181818181818,0,0,"syllabus109","FLEMMING, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, v. NESTOR"
"110",109,0,0,0.024390243902439,0,0.0121951219512195,0,0.0853658536585366,0.024390243902439,0,0,0,0,0,0.841463414634146,0,0,0.0121951219512195,0,0,0,"syllabus110","UPHAUS v. WYMAN, ATTORNEY GENERAL OF NEW HAMPSHIRE"
"111",110,0.236842105263158,0,0.0263157894736842,0.0701754385964912,0,0,0.105263157894737,0,0.0614035087719298,0,0,0.0087719298245614,0.0263157894736842,0.412280701754386,0,0,0,0,0.043859649122807,0.0087719298245614,"syllabus111","SHELTON et al. v. TUCKER et al."
"112",111,0,0,0,0,0.0422535211267606,0,0,0.126760563380282,0,0,0,0.0985915492957746,0,0.380281690140845,0.00704225352112676,0.00704225352112676,0.0140845070422535,0.204225352112676,0,0.119718309859155,"syllabus112","TIMES FILM CORP. v. CITY OF CHICAGO et al."
"113",112,0.0048780487804878,0,0.0634146341463415,0,0.0048780487804878,0.0731707317073171,0.726829268292683,0.102439024390244,0.00975609756097561,0.0048780487804878,0,0,0,0.0048780487804878,0,0,0,0,0,0.0048780487804878,"syllabus113","WILKINSON v. UNITED STATES"
"114",113,0,0,0.0551724137931034,0,0.0137931034482759,0.00689655172413793,0.882758620689655,0.0344827586206897,0,0,0,0.00689655172413793,0,0,0,0,0,0,0,0,"syllabus114","BRADEN v. UNITED STATES"
"115",114,0,0.00735294117647059,0,0,0,0,0.566176470588235,0.00735294117647059,0,0,0,0,0,0.411764705882353,0,0,0.00735294117647059,0,0,0,"syllabus115","KONIGSBERG v. STATE BAR OF CALIFORNIA et al."
"116",115,0.0135135135135135,0,0.128378378378378,0,0,0,0.506756756756757,0,0,0,0.0202702702702703,0,0,0.324324324324324,0,0,0,0,0.00675675675675676,0,"syllabus116","In re ANASTAPLO"
